"Year","L_T","L_C","L_S","L_I","S_demo","coverage_count"
"2000","0.260000","0.400910","NaN","NaN","0.330455","2"
"2001","0.353333","0.412923","NaN","NaN","0.383128","2"
"2002","0.420000","0.428817","NaN","NaN","0.424408","2"
"2003","0.413333","0.447694","NaN","NaN","0.430514","2"
"2004","0.353333","0.460528","NaN","NaN","0.406931","2"
"2005","0.453333","0.477541","NaN","NaN","0.465437","2"
"2006","0.426667","0.493285","NaN","NaN","0.459976","2"
"2007","0.446667","0.507685","NaN","NaN","0.477176","2"
"2008","0.360000","0.521191","NaN","NaN","0.440595","2"
"2009","0.440000","0.534696","NaN","NaN","0.487348","2"
"2010","0.486667","0.553052","NaN","NaN","0.519859","2"
"2011","0.406667","0.566110","NaN","NaN","0.486388","2"
"2012","0.433333","0.582600","NaN","NaN","0.507966","2"
"2013","0.453333","0.602597","NaN","NaN","0.527965","2"
"2014","0.500000","0.618042","NaN","NaN","0.559021","2"
"2015","0.600000","0.634458","NaN","NaN","0.617229","2"
"2016","0.673333","0.659827","NaN","NaN","0.666580","2"
"2017","0.613333","0.677362","NaN","NaN","0.645347","2"
"2018","0.566667","0.691986","NaN","NaN","0.629326","2"
"2019","0.653333","0.713849","NaN","NaN","0.683591","2"
"2020","0.673333","0.732950","NaN","NaN","0.703142","2"
"2021","0.566667","0.749366","NaN","NaN","0.658016","2"
"2022","0.593333","0.765184","NaN","NaN","0.679259","2"
"2023","0.780000","0.784211","NaN","NaN","0.782106","2"
"2024","0.853333","0.810551","NaN","NaN","0.831942","2"
